,value
2014-01-01,18.2
2014-02-01,16.96
2014-03-01,16.71
2014-04-01,18.33
2014-05-01,19.01
2014-06-01,20.6
2014-07-01,23.65
2014-08-01,25.34
2014-09-01,26.66
2014-10-01,27.53
2014-11-01,28.63
2014-12-01,24.99
2015-01-01,20.46
2015-02-01,19.61
2015-03-01,16.88
2015-04-01,13.55
2015-05-01,11.79
2015-06-01,13.61
2015-07-01,14.52
2015-08-01,14.55
2015-09-01,14.27
2015-10-01,14.94
2015-11-01,14.87
2015-12-01,14.15
2016-01-01,13.71
2016-02-01,13.25
2016-03-01,13.04
2016-04-01,15.13
2016-05-01,16.68
2016-06-01,19.35
2016-07-01,21.99
2016-08-01,21.4
2016-09-01,20.36
2016-10-01,19.66
2016-11-01,18.38
2016-12-01,15.12
2017-01-01,12.6
2017-02-01,12.48
2017-03-01,12.11
2017-04-01,12.91
2017-05-01,13.02
2017-06-01,13.36
2017-07-01,14.29
2017-08-01,14.23
2017-09-01,14.01
2017-10-01,14.22
2017-11-01,14.05
2017-12-01,13.86
2018-01-01,12.36
2018-02-01,12.48
2018-03-01,14.08
2018-04-01,16.08
2018-05-01,17.74
2018-06-01,19.94
2018-07-01,21.51
2018-08-01,21.31
2018-09-01,21.07
2018-10-01,20.96
2018-11-01,20.66
2018-12-01,19.2
2019-01-01,17.29
2019-02-01,16.76
2019-03-01,16.24
2019-04-01,16.05
2019-05-01,16.3
2019-06-01,17.2
2019-07-01,17.81
2019-08-01,17.54
2019-09-01,17.18
2019-10-01,18.57
2019-11-01,20.63
2019-12-01,22.82
2020-01-01,24.33
2020-02-01,21.21
2020-03-01,20.67
2020-04-01,25.1
2020-05-01,24.77
2020-06-01,25.91
2020-07-01,28.71
2020-08-01,31.58
2020-09-01,35.06
2020-10-01,37.24
2020-11-01,42.1
2020-12-01,37.18
2021-01-01,24.18
2021-02-01,21.72
2021-03-01,18.13
2021-04-01,18.92
2021-05-01,20.22
2021-06-01,20.76
2021-07-01,20.9
2021-08-01,20.34
2021-09-01,19.66
2021-10-01,20.92
2021-11-01,24.37
2021-12-01,22.09
2022-01-01,21.14
2022-02-01,19.62
2022-03-01,19.58
2022-04-01,20.17
2022-05-01,21.68
2022-06-01,22.84
2022-07-01,23.85
2022-08-01,24.82
2022-09-01,25.87
2022-10-01,27.48
2022-11-01,28.17
2022-12-01,25.23
2023-01-01,23.22
2023-02-01,21.97
2023-03-01,20.39
2023-04-01,20.09
2023-05-01,20.19
2023-06-01,20.5
2023-07-01,22.4
2023-08-01,22.8
2023-09-01,22.56
2023-10-01,22.66
2023-11-01,22.96
2023-12-01,22.22
2024-01-01,21.74
2024-02-01,21.14
2024-03-01,22.66
2024-04-01,26.04
2024-05-01,27.47
2024-06-01,30.24
2024-07-01,36.48
2024-08-01,36.01
2024-09-01,36.24
2024-10-01,37.01
2024-11-01,38.2
2024-12-01,36.78
2025-01-01,31.34
2025-02-01,22.918184256706464
2025-03-01,20.874038708632142
2025-04-01,20.260795587052908
2025-05-01,20.060371401704856
2025-06-01,20.035966458839233
2025-07-01,20.099442252498545
2025-08-01,20.215927400241906
2025-09-01,20.367171720916964
2025-10-01,20.57653255636709
2025-11-01,20.91334265279275
2025-12-01,21.272928945156604
2026-01-01,21.39310816018438
