,value
2014-01-01,25.9
2014-02-01,27.26
2014-03-01,26.74
2014-04-01,26.52
2014-05-01,26.95
2014-06-01,27.18
2014-07-01,27.23
2014-08-01,27.47
2014-09-01,28.12
2014-10-01,28.19
2014-11-01,27.85
2014-12-01,27.6
2015-01-01,27.87
2015-02-01,28.02
2015-03-01,27.37
2015-04-01,27.52
2015-05-01,27.54
2015-06-01,28.23
2015-07-01,27.91
2015-08-01,27.75
2015-09-01,27.33
2015-10-01,26.94
2015-11-01,26.41
2015-12-01,26.3
2016-01-01,26.18
2016-02-01,26.79
2016-03-01,26.96
2016-04-01,27.04
2016-05-01,26.89
2016-06-01,27.01
2016-07-01,27.44
2016-08-01,27.02
2016-09-01,26.93
2016-10-01,26.45
2016-11-01,26.31
2016-12-01,26.24
2017-01-01,26.32
2017-02-01,26.56
2017-03-01,26.26
2017-04-01,26.66
2017-05-01,26.7
2017-06-01,26.67
2017-07-01,26.7
2017-08-01,26.91
2017-09-01,27.2
2017-10-01,27.74
2017-11-01,27.58
2017-12-01,27.34
2018-01-01,27.41
2018-02-01,27.42
2018-03-01,27.48
2018-04-01,27.68
2018-05-01,27.68
2018-06-01,27.53
2018-07-01,27.93
2018-08-01,27.9
2018-09-01,27.65
2018-10-01,27.72
2018-11-01,27.95
2018-12-01,27.99
2019-01-01,28.34
2019-02-01,28.41
2019-03-01,28.26
2019-04-01,28.24
2019-05-01,28.39
2019-06-01,28.96
2019-07-01,28.99
2019-08-01,29.42
2019-09-01,29.14
2019-10-01,29.61
2019-11-01,29.67
2019-12-01,30.18
2020-01-01,30.72
2020-02-01,30.92
2020-03-01,30.38
2020-04-01,30.72
2020-05-01,31.07
2020-06-01,31.45
2020-07-01,31.08
2020-08-01,31.63
2020-09-01,31.64
2020-10-01,31.85
2020-11-01,32.08
2020-12-01,31.73
2021-01-01,37.59
2021-02-01,39.09
2021-03-01,38.68
2021-04-01,36.71
2021-05-01,36.64
2021-06-01,33.65
2021-07-01,33.23
2021-08-01,33.61
2021-09-01,32.9
2021-10-01,33.76
2021-11-01,33.73
2021-12-01,33.58
2022-01-01,33.59
2022-02-01,33.56
2022-03-01,33.46
2022-04-01,33.91
2022-05-01,34.33
2022-06-01,34.87
2022-07-01,34.88
2022-08-01,35.3
2022-09-01,36.19
2022-10-01,36.83
2022-11-01,36.97
2022-12-01,36.8
2023-01-01,37.46
2023-02-01,37.75
2023-03-01,37.68
2023-04-01,37.83
2023-05-01,38.07
2023-06-01,38.3
2023-07-01,38.99
2023-08-01,39.63
2023-09-01,40.43
2023-10-01,40.93
2023-11-01,41.32
2023-12-01,41.87
2024-01-01,42.11
2024-02-01,42.52
2024-03-01,42.62
2024-04-01,43.15
2024-05-01,43.27
2024-06-01,43.73
2024-07-01,42.91
2024-08-01,41.2
2024-09-01,40.97
2024-10-01,41.11
2024-11-01,41.69
2024-12-01,41.27
2025-01-01,41.18
2025-02-01,41.33329227644257
2025-03-01,41.206986386198366
2025-04-01,40.94766705983496
2025-05-01,40.88676529185089
2025-06-01,41.090780400333955
2025-07-01,41.371118818050036
2025-08-01,41.395693067287276
2025-09-01,41.437694250133575
2025-10-01,41.52932598676074
2025-11-01,41.596798929710765
2025-12-01,41.643647094091634
2026-01-01,41.73012105036827
