,value
2014-01-01,58.91
2014-02-01,60.36
2014-03-01,60.64
2014-04-01,62.02
2014-05-01,63.82
2014-06-01,65.0
2014-07-01,66.79
2014-08-01,70.55
2014-09-01,70.73
2014-10-01,69.41
2014-11-01,70.12
2014-12-01,70.27
2015-01-01,72.41
2015-02-01,74.15
2015-03-01,73.79
2015-04-01,75.29
2015-05-01,83.07
2015-06-01,90.34
2015-07-01,91.98
2015-08-01,95.72
2015-09-01,103.93
2015-10-01,124.25
2015-11-01,133.98
2015-12-01,137.25
2016-01-01,137.73
2016-02-01,137.27
2016-03-01,135.05
2016-04-01,140.33
2016-05-01,149.24
2016-06-01,149.02
2016-07-01,150.02
2016-08-01,141.55
2016-09-01,126.43
2016-10-01,117.14
2016-11-01,107.46
2016-12-01,101.21
2017-01-01,94.43
2017-02-01,91.05
2017-03-01,87.14
2017-04-01,88.47
2017-05-01,86.55
2017-06-01,84.22
2017-07-01,79.89
2017-08-01,75.79
2017-09-01,76.92
2017-10-01,74.42
2017-11-01,71.92
2017-12-01,68.91
2018-01-01,68.03
2018-02-01,67.32
2018-03-01,67.1
2018-04-01,65.98
2018-05-01,66.03
2018-06-01,63.64
2018-07-01,62.77
2018-08-01,61.96
2018-09-01,61.18
2018-10-01,60.71
2018-11-01,62.48
2018-12-01,63.23
2019-01-01,64.01
2019-02-01,63.68
2019-03-01,62.02
2019-04-01,62.27
2019-05-01,62.43
2019-06-01,65.09
2019-07-01,64.11
2019-08-01,64.14
2019-09-01,64.6
2019-10-01,67.27
2019-11-01,73.7
2019-12-01,77.85
2020-01-01,81.03
2020-02-01,82.82
2020-03-01,84.25
2020-04-01,92.06
2020-05-01,94.2
2020-06-01,91.92
2020-07-01,90.25
2020-08-01,89.66
2020-09-01,88.59
2020-10-01,92.53
2020-11-01,95.35
2020-12-01,96.66
2021-01-01,98.99
2021-02-01,98.95
2021-03-01,99.18
2021-04-01,101.84
2021-05-01,102.74
2021-06-01,100.09
2021-07-01,98.8
2021-08-01,99.85
2021-09-01,101.0
2021-10-01,101.33
2021-11-01,100.88
2021-12-01,99.39
2022-01-01,99.19
2022-02-01,99.55
2022-03-01,98.86
2022-04-01,99.04
2022-05-01,99.3
2022-06-01,98.95
2022-07-01,98.8
2022-08-01,100.46
2022-09-01,101.63
2022-10-01,102.48
2022-11-01,102.46
2022-12-01,101.73
2023-01-01,101.3
2023-02-01,101.75
2023-03-01,102.08
2023-04-01,102.77
2023-05-01,103.79
2023-06-01,105.28
2023-07-01,108.26
2023-08-01,109.78
2023-09-01,111.0
2023-10-01,113.03
2023-11-01,115.75
2023-12-01,116.98
2024-01-01,116.81
2024-02-01,117.85
2024-03-01,119.06
2024-04-01,119.79
2024-05-01,120.94
2024-06-01,123.1
2024-07-01,124.58
2024-08-01,122.67
2024-09-01,121.69
2024-10-01,122.29
2024-11-01,121.01
2024-12-01,121.05
2025-01-01,120.88
2025-02-01,119.71687175811904
2025-03-01,118.54420751376684
2025-04-01,117.42712302747007
2025-05-01,116.33507149856825
2025-06-01,115.28334403489224
2025-07-01,114.34468577316167
2025-08-01,113.52283572023526
2025-09-01,112.78303405242376
2025-10-01,112.1052998984666
2025-11-01,111.49427943409965
2025-12-01,110.94737101884931
2026-01-01,110.48363200971374
